feature,spearman
qtd_eventos_sinistro,0.9934396800394574
qtd_carater_eletivo,0.9597131829095399
qtd_servico_CONSULTA,0.9358476632824951
qtd_esp_outros,0.8175053675383622
qtd_conta_ATENDIMENTO AMBULATORIAL,0.7185350208954786
qtd_esp_clin_geral,0.652932151507958
qtd_conta_PRONTO SOCORRO,0.6349526116115576
qtd_servico_LABORATÓRIO,0.6005313255080601
qtd_conta_EXTERNO,0.5768328657534917
qtd_conta_ELETIVO,0.45807252830920375
qtd_servico_ULTRA-SONOGRAFIA,0.4003402153283756
qtd_servico_RADIOLOGIA,0.3851718048431703
qtd_esp_gine,0.3602580482941137
qtd_esp_orto,0.29693756047416353
qtd_esp_ped,0.2847709642129037
qtd_servico_FISIOTERAPIA,0.2735955245153738
qtd_esp_oftal,0.24741823963088513
qtd_carater_urgencia,0.229691698153224
pct_urgencia,0.22939176659454252
qtd_servico_CLÍNICO,0.2190173708703663
qtd_servico_TOMOGRAFIA,0.21319813745022492
qtd_servico___OUTROS__,0.20538888509143507
qtd_esp_cardio,0.19292291544365953
qtd_conta_INTERNADO,0.17883980483464754
qtd_servico_CIRURGICO,0.17724411102916257
qtd_esp_derm,0.16279119656279115
qtd_servico_ACUPUNTURA,0.1596548177949469
qtd_esp_otorrino,0.14169659835672654
sexo,0.13543797205646296
qtd_servico_DIÁRIA,0.1219195944140039
qtd_servico_RESSONÂNCIA MAGNÉTICA,0.11897568718040048
qtd_esp_neuro,0.10537017368580558
idade,0.10156915671010598
qtd_servico_CARDIOLOGIA,0.09845347521121647
qtd_servico_ENDOSCOPIA,0.0908072761743998
qtd_esp_cirurg,0.08629116767984495
tipo_cadastro,-0.0228151657723318
