feature,spearman
qtd_eventos_sinistro,0.9954666019478945
qtd_carater_eletivo,0.9570297396821125
qtd_servico_CONSULTA,0.9190563036462229
qtd_esp_outros,0.8199493990409994
qtd_esp_clin_geral,0.6865294708361052
qtd_conta_PRONTO SOCORRO,0.6827168243319506
qtd_conta_EXTERNO,0.667447010303846
qtd_conta_ATENDIMENTO AMBULATORIAL,0.648470341231077
qtd_servico_LABORATÓRIO,0.6361173952070402
qtd_conta_ELETIVO,0.4224758561041029
qtd_servico_ULTRA-SONOGRAFIA,0.3912142419619836
qtd_servico_RADIOLOGIA,0.37786064910371325
qtd_esp_gine,0.3455828666102746
qtd_servico_TOMOGRAFIA,0.29191774968518736
qtd_esp_oftal,0.24654671575900583
qtd_esp_ped,0.22752502325682217
qtd_carater_urgencia,0.21578057052320057
pct_urgencia,0.21559801332937978
qtd_servico_FISIOTERAPIA,0.2111886584037847
qtd_esp_orto,0.20624141877404664
qtd_esp_cardio,0.18736800707081613
qtd_servico___OUTROS__,0.1866468685354692
qtd_servico_CLÍNICO,0.15174222125052156
qtd_servico_CIRURGICO,0.14886734803916027
qtd_esp_otorrino,0.14023885439049907
qtd_servico_ENDOSCOPIA,0.14009154764928414
qtd_conta_INTERNADO,0.1396127162376607
qtd_servico_CARDIOLOGIA,0.11477231403448825
qtd_servico_DIÁRIA,0.11393092082102832
idade,0.11362544098805365
qtd_esp_derm,0.10723724131234073
sexo,0.09969894882654814
qtd_servico_RESSONÂNCIA MAGNÉTICA,0.09766391656705323
qtd_esp_cirurg,0.07895506567795273
qtd_esp_neuro,0.07224634181110898
qtd_servico_ACUPUNTURA,0.05568299564010765
tipo_cadastro,-0.03603449495299988
valor_faturamento,0.02166879564793659
