feature,spearman
qtd_eventos_sinistro,0.9896307510701375
qtd_servico_CONSULTA,0.9162642093205808
qtd_esp_clin_geral,0.7473772492620395
qtd_carater_urgencia,0.738259625422953
qtd_conta_PRONTO SOCORRO,0.7299114935580412
pct_urgencia,0.726250157609286
qtd_carater_eletivo,0.6882441216920848
qtd_conta_ATENDIMENTO AMBULATORIAL,0.6863200290517693
qtd_esp_outros,0.5995077981251946
qtd_servico_LABORATÓRIO,0.4822237519703255
qtd_esp_lab_imagem,0.45333993103920533
qtd_servico_RADIOLOGIA,0.4032724409217405
qtd_esp_otorrino,0.38459947297782276
qtd_servico_ULTRA-SONOGRAFIA,0.35624878080858857
qtd_servico___OUTROS__,0.29068987357977455
qtd_esp_cardio,0.234980656987138
qtd_servico_TOMOGRAFIA,0.22356544963551445
qtd_esp_gine,0.20141384653570976
qtd_servico_CARDIOLOGIA,0.19255832291159938
qtd_servico_FISIOTERAPIA,0.18354666335899886
qtd_conta_INTERNADO,0.1794549723287694
qtd_conta_EXTERNO,0.17864635815667734
qtd_esp_orto,0.17547408790676208
qtd_esp_psiq,0.16562955738854626
qtd_esp_oftal,0.15895936066217278
qtd_servico_ENDOSCOPIA,0.15149774574924846
qtd_servico_CIRURGICO,0.1505585033000626
qtd_esp_derm,0.13071020504461958
qtd_servico_CLÍNICO,0.13055372473474566
qtd_esp_ped,0.129601909413077
qtd_servico_DIÁRIA,0.12739382785187012
qtd_servico_RESSONÂNCIA MAGNÉTICA,0.1110917409490591
idade,0.10716422222701653
qtd_esp_neuro,0.09340712470125749
sexo,-0.09259569926867078
qtd_servico_ACUPUNTURA,0.09180998080905382
qtd_esp_cirurg,0.07774229990697595
tipo_cadastro,-0.0656364096943254
qtd_servico_QUIMIOTERAPIA,0.03950118210984551
valor_faturamento,-0.030676402073569992
