feature,spearman
qtd_eventos_sinistro,0.9914541180953519
qtd_carater_eletivo,0.9709750977091379
qtd_servico_CONSULTA,0.9110380670920981
qtd_esp_outros,0.8124587340583125
qtd_conta_ATENDIMENTO AMBULATORIAL,0.7405262493406733
qtd_conta_EXTERNO,0.6620573262417722
qtd_servico_LABORATÓRIO,0.639354640351568
qtd_esp_clin_geral,0.5882672943330645
qtd_conta_PRONTO SOCORRO,0.5713298786033949
qtd_servico_ULTRA-SONOGRAFIA,0.41851229017470654
qtd_servico_RADIOLOGIA,0.3870003153115168
qtd_esp_gine,0.38451338698033266
qtd_esp_ped,0.2769853821566144
qtd_conta_ELETIVO,0.2738441833808028
qtd_esp_orto,0.26527177502844723
qtd_esp_oftal,0.25193994384144475
qtd_esp_derm,0.2159525068732234
qtd_esp_cardio,0.1952481741085459
qtd_servico_TOMOGRAFIA,0.19170688687811474
qtd_servico___OUTROS__,0.19139446463260607
qtd_servico_CIRURGICO,0.18009180153331217
sexo,0.17854585059642958
qtd_conta_INTERNADO,0.1675473934740448
qtd_carater_urgencia,0.16088982326489581
pct_urgencia,0.16081221733332804
qtd_servico_ENDOSCOPIA,0.13573336150896453
qtd_servico_FISIOTERAPIA,0.13479226200214792
qtd_esp_otorrino,0.12825674454594876
qtd_servico_CLÍNICO,0.1188513941049145
qtd_servico_CARDIOLOGIA,0.11220087775493182
qtd_servico_DIÁRIA,0.1082693407726749
qtd_esp_cirurg,0.10632681095522242
idade,0.08476411849232546
qtd_servico_ACUPUNTURA,0.0822648257075899
qtd_esp_neuro,0.07468944982431867
tipo_cadastro,-0.022552844334762158
