feature,spearman
qtd_eventos_sinistro,0.9849275404219001
qtd_servico_CONSULTA,0.904976055657448
qtd_carater_eletivo,0.7561129670999074
qtd_esp_clin_geral,0.7335188288895251
qtd_carater_urgencia,0.6941347711230952
qtd_conta_PRONTO SOCORRO,0.6897144988957717
pct_urgencia,0.6813747622533411
qtd_conta_ATENDIMENTO AMBULATORIAL,0.638072898697042
qtd_esp_outros,0.6068890257968382
qtd_conta_EXTERNO,0.6066616355461709
qtd_servico_LABORATÓRIO,0.48398771788882333
qtd_servico_ULTRA-SONOGRAFIA,0.43284936381523786
qtd_servico_RADIOLOGIA,0.3435204960089537
qtd_esp_gine,0.2989502515161146
qtd_esp_orto,0.29676863348905225
qtd_servico___OUTROS__,0.2956012515401014
qtd_esp_lab_imagem,0.25366405810173537
qtd_esp_oftal,0.2522744878842983
qtd_servico_FISIOTERAPIA,0.22969191914514944
qtd_esp_psiq,0.20673888639637814
qtd_esp_cardio,0.20483992948659724
qtd_esp_derm,0.19841263411097557
qtd_servico_TOMOGRAFIA,0.19209819093088026
qtd_esp_ped,0.1780937004628417
qtd_conta_INTERNADO,0.17503609293774824
qtd_servico_CARDIOLOGIA,0.1731103884091749
qtd_servico_CIRURGICO,0.15397381463414545
idade,0.15347530310016014
tipo_cadastro,-0.14190002789799833
qtd_servico_ACUPUNTURA,0.14155798169852518
qtd_servico_CLÍNICO,0.13111235618897524
qtd_esp_neuro,0.1279797122762263
qtd_esp_cirurg,0.12512582160358374
qtd_esp_otorrino,0.1218148657828674
qtd_servico_ENDOSCOPIA,0.11009640398003087
qtd_servico_DIÁRIA,0.10629184960348938
qtd_servico_RESSONÂNCIA MAGNÉTICA,0.10545658986314035
sexo,-0.08830562308144593
qtd_servico_QUIMIOTERAPIA,0.0397806074382085
valor_faturamento,-0.031577607269263314
