feature,spearman
qtd_eventos_sinistro,0.9867301689600345
qtd_servico_CONSULTA,0.9130107823575817
qtd_carater_eletivo,0.8092406764062043
qtd_esp_outros,0.7354379472803415
qtd_esp_clin_geral,0.6996303805581453
qtd_conta_ATENDIMENTO AMBULATORIAL,0.691933558387551
qtd_carater_urgencia,0.6355225512414814
qtd_conta_PRONTO SOCORRO,0.6355161631787651
pct_urgencia,0.6252806016342194
qtd_conta_EXTERNO,0.6138904947935457
qtd_servico_LABORATÓRIO,0.5337307957322046
qtd_servico_ULTRA-SONOGRAFIA,0.4672880197249077
qtd_conta_NA,0.3668000167003543
qtd_servico_RADIOLOGIA,0.3639777142216807
qtd_esp_gine,0.3576436910537805
qtd_esp_orto,0.2559358194960513
qtd_esp_cardio,0.25107639734086057
qtd_servico___OUTROS__,0.25060162418829646
qtd_servico_FISIOTERAPIA,0.2091151009720626
qtd_esp_ped,0.20815844543561132
qtd_esp_oftal,0.20117866631866124
qtd_esp_lab_imagem,0.19964611543807192
qtd_servico_CARDIOLOGIA,0.19485892027013216
qtd_esp_derm,0.17967917399529168
qtd_servico_CLÍNICO,0.1703509295539596
qtd_conta_INTERNADO,0.16923365570094362
qtd_esp_cirurg,0.1685508689625224
qtd_servico_CIRURGICO,0.15948244046423898
qtd_servico_TOMOGRAFIA,0.15890715256874033
qtd_servico_RESSONÂNCIA MAGNÉTICA,0.1541445846453072
sexo,0.14887357104241736
qtd_esp_psiq,0.1304301039103427
qtd_servico_ENDOSCOPIA,0.12270518168340482
qtd_esp_otorrino,0.10927673363582437
qtd_esp_neuro,0.09833690652458882
idade,0.0970746182960723
qtd_servico_ACUPUNTURA,0.09531654268322531
qtd_servico_DIÁRIA,0.08544159339083278
qtd_servico_QUIMIOTERAPIA,0.08063694313741067
tipo_cadastro,-0.06320853199567993
