feature,spearman
qtd_eventos_sinistro,0.9875247711083192
qtd_servico_CONSULTA,0.8930682040376317
qtd_carater_eletivo,0.8193679255107269
qtd_conta_ATENDIMENTO AMBULATORIAL,0.7915846037122178
qtd_esp_outros,0.6985058104870251
qtd_esp_clin_geral,0.6453236854812342
qtd_carater_urgencia,0.6427004050563523
qtd_conta_PRONTO SOCORRO,0.6341218670970634
pct_urgencia,0.6325232537015859
qtd_servico_LABORATÓRIO,0.552027485555235
qtd_esp_lab_imagem,0.4615880445913149
qtd_servico_ULTRA-SONOGRAFIA,0.43027604578986756
qtd_servico_RADIOLOGIA,0.38055780664494293
qtd_conta_EXTERNO,0.3700620035496999
qtd_esp_cardio,0.32208525201965693
qtd_esp_gine,0.28757602095338475
qtd_servico_CARDIOLOGIA,0.27436484047794096
qtd_esp_ped,0.2463430418666262
qtd_servico_TOMOGRAFIA,0.24472764203056546
qtd_esp_orto,0.22014323581375206
qtd_servico___OUTROS__,0.21715067346085923
qtd_servico_FISIOTERAPIA,0.21496314100610311
qtd_esp_oftal,0.2142054600180016
qtd_esp_neuro,0.19465633668724985
qtd_conta_INTERNADO,0.18832218354582522
qtd_esp_otorrino,0.18036418223171213
qtd_servico_CIRURGICO,0.17931156557737707
qtd_servico_RESSONÂNCIA MAGNÉTICA,0.17491845751979962
qtd_servico_CLÍNICO,0.1726917957790748
qtd_esp_psiq,0.16428972988409257
qtd_servico_ACUPUNTURA,0.14779041984651953
qtd_servico_DIÁRIA,0.14506300975054603
idade,0.13322072022842243
qtd_esp_derm,0.13182414846608845
qtd_esp_cirurg,0.10973078679444576
qtd_servico_ENDOSCOPIA,0.10914858165435569
qtd_servico_TERAPIA,0.10241362944916144
sexo,-0.08721145822267196
tipo_cadastro,-0.03337371182709079
