feature,spearman
qtd_eventos_sinistro,0.9805896648278372
qtd_servico_CONSULTA,0.8978395661209098
qtd_carater_eletivo,0.7684514367471289
qtd_conta_ATENDIMENTO AMBULATORIAL,0.7349465781094071
qtd_esp_clin_geral,0.6590261959650957
qtd_carater_urgencia,0.657630685112827
qtd_esp_outros,0.6559171426005713
pct_urgencia,0.6474401812621018
qtd_conta_PRONTO SOCORRO,0.6463381241726154
qtd_servico_LABORATÓRIO,0.5301565494512064
qtd_esp_lab_imagem,0.4506275073863443
qtd_servico_ULTRA-SONOGRAFIA,0.4044726047586534
qtd_servico_RADIOLOGIA,0.3963564143625287
qtd_conta_EXTERNO,0.3954602028832472
qtd_esp_oftal,0.2750121980446492
qtd_esp_gine,0.27182449390378943
qtd_esp_cardio,0.26274529305101996
qtd_servico___OUTROS__,0.24056919092752985
qtd_esp_ped,0.23345548586936207
qtd_servico_CARDIOLOGIA,0.2264231436432053
qtd_servico_TOMOGRAFIA,0.2111730977315458
qtd_conta_INTERNADO,0.1949530518712369
qtd_servico_FISIOTERAPIA,0.19087783017494553
qtd_esp_otorrino,0.18784256355262752
qtd_servico_CLÍNICO,0.18411200819184437
qtd_esp_orto,0.17849874862511117
qtd_esp_neuro,0.17156351202361683
qtd_servico_RESSONÂNCIA MAGNÉTICA,0.160530004616925
qtd_servico_DIÁRIA,0.1554770307794543
qtd_esp_psiq,0.1524355619315365
qtd_servico_ACUPUNTURA,0.13842299841878167
qtd_esp_derm,0.1317755649758693
qtd_servico_CIRURGICO,0.12229837923448085
idade,0.11014057721215885
qtd_esp_cirurg,0.10375444995394938
sexo,-0.08778707673408725
qtd_servico_QUIMIOTERAPIA,0.07693212231929798
qtd_servico_TERAPIA,0.07376050792639775
qtd_servico_ENDOSCOPIA,0.06991741910013195
tipo_cadastro,-0.06645212109089574
