feature,spearman
qtd_eventos_sinistro,0.9864992552625929
qtd_servico_CONSULTA,0.895056111536461
qtd_carater_eletivo,0.8218500577308028
qtd_conta_ATENDIMENTO AMBULATORIAL,0.7840117513569397
qtd_esp_outros,0.7093510704232265
qtd_esp_clin_geral,0.6246884108958303
qtd_carater_urgencia,0.6040509841363503
pct_urgencia,0.5974956018729359
qtd_conta_PRONTO SOCORRO,0.5970458678025081
qtd_servico_LABORATÓRIO,0.5145820513402968
qtd_servico_ULTRA-SONOGRAFIA,0.44529715309303214
qtd_esp_lab_imagem,0.40416960146336284
qtd_conta_EXTERNO,0.3914617126223445
qtd_servico_RADIOLOGIA,0.33575297180830777
qtd_servico___OUTROS__,0.2923078197091059
qtd_esp_gine,0.2790603570972142
qtd_esp_cardio,0.2780545820314561
qtd_esp_ped,0.2514559705925527
qtd_servico_CIRURGICO,0.22610829860721465
qtd_servico_CARDIOLOGIA,0.22303531897434786
qtd_servico_FISIOTERAPIA,0.217618920588583
qtd_conta_INTERNADO,0.21332893110229628
qtd_esp_oftal,0.2080146189025817
qtd_esp_orto,0.20601783366511303
qtd_esp_neuro,0.20129835755681103
qtd_servico_TOMOGRAFIA,0.18833969096060083
qtd_servico_CLÍNICO,0.18509551982132316
qtd_esp_otorrino,0.17578165906492169
qtd_esp_derm,0.15464601792282542
qtd_esp_cirurg,0.15081796123658367
qtd_servico_ENDOSCOPIA,0.14837863312606256
qtd_servico_RESSONÂNCIA MAGNÉTICA,0.1475737225274236
qtd_esp_psiq,0.14689248614071357
qtd_servico_ACUPUNTURA,0.144844491047826
qtd_servico_DIÁRIA,0.13503727096093035
idade,0.13403603855154528
sexo,-0.08916946116285439
tipo_cadastro,-0.05303801503709732
