feature,spearman
qtd_eventos_sinistro,0.9900620629500066
qtd_servico_CONSULTA,0.9155557024661907
qtd_carater_eletivo,0.7677203112515152
qtd_conta_ATENDIMENTO AMBULATORIAL,0.7427385212889039
qtd_esp_clin_geral,0.7155743749272038
qtd_esp_outros,0.6989284881036754
qtd_carater_urgencia,0.6905273123214086
qtd_conta_PRONTO SOCORRO,0.6872908031797282
pct_urgencia,0.6815739746578906
qtd_servico_LABORATÓRIO,0.5232182391025144
qtd_servico_ULTRA-SONOGRAFIA,0.4764484554316656
qtd_esp_lab_imagem,0.37189364784754764
qtd_servico_RADIOLOGIA,0.36013590896379044
qtd_conta_EXTERNO,0.3452379525582597
qtd_esp_cardio,0.30482474005979826
qtd_esp_gine,0.28284389780188746
qtd_esp_orto,0.27135613358850497
qtd_servico___OUTROS__,0.24804748195772822
qtd_servico_CARDIOLOGIA,0.23412289465134384
qtd_servico_FISIOTERAPIA,0.23055842340843755
qtd_esp_ped,0.20368191973010127
qtd_servico_CIRURGICO,0.1984450396824691
qtd_servico_TOMOGRAFIA,0.19008170371560962
qtd_conta_INTERNADO,0.17716317197340853
idade,0.17511350164504874
qtd_servico_ACUPUNTURA,0.16766071641307734
qtd_esp_oftal,0.16222928300519343
qtd_esp_psiq,0.15391660337426594
qtd_esp_neuro,0.15240820630299579
qtd_esp_cirurg,0.14285188401633367
qtd_servico_ENDOSCOPIA,0.1350142110546324
qtd_servico_RESSONÂNCIA MAGNÉTICA,0.1299430127835935
qtd_servico_TERAPIA,0.11937290521374604
qtd_esp_derm,0.11471874396455839
qtd_esp_otorrino,0.10468962475120853
qtd_servico_DIÁRIA,0.10400354892997932
tipo_cadastro,-0.0994572921971311
qtd_servico_CLÍNICO,0.09204120732550755
sexo,0.07274528526131774
qtd_servico_QUIMIOTERAPIA,0.06000171626672904
