feature,spearman
qtd_eventos_sinistro,0.9892804398455349
qtd_carater_eletivo,0.9824076796737918
qtd_servico_CONSULTA,0.9114656022291773
qtd_esp_outros,0.8098524837641722
qtd_conta_ATENDIMENTO AMBULATORIAL,0.6758126517696373
qtd_esp_clin_geral,0.6151455107043604
qtd_conta_PRONTO SOCORRO,0.6013177096435915
qtd_conta_EXTERNO,0.5947419473109229
qtd_servico_LABORATÓRIO,0.546663380030322
qtd_conta_NA,0.4165839507196109
qtd_servico_ULTRA-SONOGRAFIA,0.39942120811328025
qtd_servico_RADIOLOGIA,0.3552503611499622
qtd_esp_gine,0.3244513581101441
qtd_servico___OUTROS__,0.28172003587554767
qtd_esp_orto,0.2697759467569377
qtd_servico_FISIOTERAPIA,0.24853164123812096
qtd_esp_ped,0.23667091698616433
qtd_servico_CIRURGICO,0.23008783222072107
qtd_esp_cardio,0.19452622246238835
qtd_conta_INTERNADO,0.194460424657258
qtd_esp_oftal,0.19362328911777457
qtd_servico_TOMOGRAFIA,0.18009270293095767
valor_faturamento,0.14458351243133438
qtd_esp_derm,0.14093709708846314
qtd_servico_CLÍNICO,0.13254382403530907
qtd_esp_neuro,0.12941761981516167
qtd_esp_cirurg,0.12284540374839599
qtd_carater_urgencia,0.12259273892180324
pct_urgencia,0.12258828659536815
qtd_servico_ACUPUNTURA,0.12085947484653721
qtd_servico_RESSONÂNCIA MAGNÉTICA,0.11191197305843488
qtd_servico_ENDOSCOPIA,0.10820088368978732
sexo,0.10796465577729093
idade,0.10593630364928627
qtd_esp_otorrino,0.09498578496240825
qtd_servico_DIÁRIA,0.08167535478621975
qtd_esp_psiq,0.044047541718863305
tipo_cadastro,-0.039691909713888494
