feature,spearman
qtd_eventos_sinistro,0.9931122264702433
qtd_servico_CONSULTA,0.9365147072024369
qtd_carater_eletivo,0.9205679063768264
qtd_conta_ATENDIMENTO AMBULATORIAL,0.777942645277013
qtd_esp_outros,0.6896907761035899
qtd_esp_clin_geral,0.625754240999094
qtd_conta_EXTERNO,0.5857049276651289
qtd_conta_PRONTO SOCORRO,0.5587605337341597
qtd_servico_LABORATÓRIO,0.5239843609716068
qtd_carater_urgencia,0.43535017489474986
pct_urgencia,0.43364212342332437
qtd_servico_ULTRA-SONOGRAFIA,0.3955561857991142
qtd_esp_gine,0.35696939023871915
qtd_servico_RADIOLOGIA,0.34698787246785123
qtd_conta_NA,0.33184316715471873
qtd_esp_oftal,0.3149520145038685
qtd_esp_cardio,0.31142598628885815
qtd_esp_ped,0.2892622894356966
qtd_servico___OUTROS__,0.26798193743101106
qtd_esp_orto,0.26461048511945207
qtd_servico_CARDIOLOGIA,0.23882642685039482
qtd_conta_INTERNADO,0.18276446214448852
qtd_esp_lab_imagem,0.18169316607010705
qtd_servico_CIRURGICO,0.17413920687470374
qtd_esp_neuro,0.1728509217812353
qtd_servico_FISIOTERAPIA,0.16874317941862113
qtd_servico_TOMOGRAFIA,0.15626981572455298
qtd_servico_RESSONÂNCIA MAGNÉTICA,0.1436818926284674
qtd_esp_cirurg,0.13700650390229924
qtd_servico_ENDOSCOPIA,0.13030962759212575
qtd_esp_derm,0.1297212103426719
qtd_esp_psiq,0.12112970214898339
qtd_servico_ACUPUNTURA,0.11244470007654837
sexo,0.10083824378340027
qtd_servico_CLÍNICO,0.09812734679635918
qtd_servico_DIÁRIA,0.09531439974449962
qtd_esp_otorrino,0.09075940737518248
idade,0.07281791891304837
qtd_servico_QUIMIOTERAPIA,0.05554623830910101
tipo_cadastro,-0.02638947264247177
