feature,spearman
qtd_eventos_sinistro,0.9904481458068473
qtd_carater_eletivo,0.981241829130359
qtd_servico_CONSULTA,0.8936312496668048
qtd_esp_outros,0.8029144995379093
qtd_conta_ATENDIMENTO AMBULATORIAL,0.6595208960910105
qtd_esp_clin_geral,0.6304476888333693
qtd_conta_PRONTO SOCORRO,0.6218332616824034
qtd_conta_EXTERNO,0.6097336640016862
qtd_servico_LABORATÓRIO,0.5517545460221371
qtd_servico_ULTRA-SONOGRAFIA,0.40175700776560713
qtd_conta_NA,0.3910733072988709
qtd_servico_RADIOLOGIA,0.3397646566944019
qtd_esp_gine,0.3094003318309981
qtd_esp_orto,0.25573378727879814
qtd_servico_CLÍNICO,0.2281478230201525
qtd_esp_ped,0.22619206603719058
qtd_servico_FISIOTERAPIA,0.20317959011824244
qtd_servico___OUTROS__,0.2015837587163651
qtd_servico_CIRURGICO,0.1852471754341078
qtd_esp_cardio,0.18055632344196984
qtd_conta_INTERNADO,0.1800661141059259
qtd_esp_oftal,0.17781795808686396
qtd_servico_CARDIOLOGIA,0.17605963572991956
qtd_servico_TOMOGRAFIA,0.15874111195163643
qtd_esp_derm,0.15805612702745056
qtd_servico_ACUPUNTURA,0.1563933311257814
qtd_carater_urgencia,0.13107970311957676
pct_urgencia,0.13107958438739106
idade,0.12190733821181883
qtd_esp_neuro,0.12156699484640125
qtd_servico_ENDOSCOPIA,0.114815374853234
qtd_servico_DIÁRIA,0.11319159778948716
sexo,0.11106009325128594
qtd_esp_cirurg,0.11030527639059982
qtd_servico_RESSONÂNCIA MAGNÉTICA,0.10129435704672989
qtd_esp_otorrino,0.1000564985263355
tipo_cadastro,-0.06029915203371697
qtd_esp_psiq,0.04739181268777296
