feature,spearman
qtd_eventos_sinistro,0.9925404255999115
qtd_carater_eletivo,0.9803583884219148
qtd_servico_CONSULTA,0.9154975051683335
qtd_conta_ATENDIMENTO AMBULATORIAL,0.7264739101215393
qtd_esp_outros,0.7249354945726293
qtd_esp_clin_geral,0.6689659646481748
qtd_conta_EXTERNO,0.6046918328900553
qtd_conta_PRONTO SOCORRO,0.5788622051019032
qtd_servico_LABORATÓRIO,0.5320463752507826
qtd_servico_ULTRA-SONOGRAFIA,0.4365230348565708
qtd_servico_RADIOLOGIA,0.3757658949408668
qtd_esp_gine,0.35965445672464225
qtd_esp_cardio,0.31124086358708675
qtd_conta_NA,0.29789606879601255
qtd_esp_orto,0.28754137486497316
qtd_esp_lab_imagem,0.2625001385852391
qtd_servico___OUTROS__,0.24668628261546835
qtd_esp_oftal,0.24209547759353273
qtd_servico_CARDIOLOGIA,0.237711180730528
qtd_servico_TOMOGRAFIA,0.21694329319393343
qtd_servico_CIRURGICO,0.20053646300723257
qtd_esp_ped,0.1941178905887738
qtd_conta_INTERNADO,0.19330853173908696
qtd_servico_FISIOTERAPIA,0.18967209604310462
qtd_esp_psiq,0.17301621911664078
qtd_servico_ENDOSCOPIA,0.14871793422146354
qtd_servico_CLÍNICO,0.1459510185313977
qtd_esp_derm,0.14516263883876543
qtd_esp_cirurg,0.14217565603380103
qtd_servico_RESSONÂNCIA MAGNÉTICA,0.13369402480519882
qtd_carater_urgencia,0.12686894923539713
pct_urgencia,0.12684301537487683
qtd_esp_otorrino,0.12565024400179373
qtd_esp_neuro,0.12523066470937472
sexo,0.12016950436527811
idade,0.1151653862887243
qtd_servico_ACUPUNTURA,0.11076844543411808
qtd_servico_DIÁRIA,0.09671127060406537
qtd_servico_QUIMIOTERAPIA,0.05604432679121425
tipo_cadastro,-0.03140183083490935
