feature,spearman
qtd_eventos_sinistro,0.9936233063142167
qtd_carater_eletivo,0.9722413169764181
qtd_servico_CONSULTA,0.9078773185312157
qtd_esp_outros,0.7897290733386154
qtd_conta_ATENDIMENTO AMBULATORIAL,0.6868984377894538
qtd_esp_clin_geral,0.6524647906547594
qtd_conta_PRONTO SOCORRO,0.6351968758694841
qtd_conta_EXTERNO,0.5735416401980328
qtd_servico_LABORATÓRIO,0.5085976886122537
qtd_servico_ULTRA-SONOGRAFIA,0.4311031149340178
qtd_conta_NA,0.388419892549509
qtd_servico_RADIOLOGIA,0.3552357585387436
qtd_esp_gine,0.2922140502156225
qtd_esp_orto,0.26511140823567614
qtd_servico___OUTROS__,0.2454332430596733
qtd_esp_ped,0.2371682399531324
qtd_esp_oftal,0.2249658020017481
qtd_servico_CARDIOLOGIA,0.22332594626923752
qtd_servico_FISIOTERAPIA,0.20938099102278243
qtd_servico_TOMOGRAFIA,0.1720509830396718
qtd_esp_cardio,0.17097642868642401
qtd_conta_INTERNADO,0.1650190517435143
qtd_carater_urgencia,0.16199617063015054
pct_urgencia,0.16198317703360365
qtd_servico_CLÍNICO,0.1527624096513789
qtd_esp_derm,0.14570295513963996
qtd_servico_ENDOSCOPIA,0.14268154537985814
qtd_servico_DIÁRIA,0.14247882485510663
qtd_servico_CIRURGICO,0.12553980059233458
qtd_servico_RESSONÂNCIA MAGNÉTICA,0.12387652876673137
qtd_esp_otorrino,0.11244065696537948
qtd_esp_cirurg,0.10502456439672514
qtd_esp_neuro,0.10105557998693007
sexo,0.10053044553600998
qtd_servico_ACUPUNTURA,0.09435006079551576
idade,0.09199402859511258
tipo_cadastro,-0.04230354345715824
qtd_esp_psiq,0.041106735360223794
