feature,spearman
qtd_eventos_sinistro,0.986706259116225
qtd_servico_CONSULTA,0.8915715171430318
qtd_carater_eletivo,0.8160210444960188
qtd_conta_ATENDIMENTO AMBULATORIAL,0.7981970350449856
qtd_esp_outros,0.7027964874280209
qtd_esp_clin_geral,0.597908130576881
qtd_carater_urgencia,0.5933391464304465
pct_urgencia,0.5881506446180994
qtd_conta_PRONTO SOCORRO,0.5867158492917832
qtd_servico_LABORATÓRIO,0.5342089722625265
qtd_servico_ULTRA-SONOGRAFIA,0.4230309831139028
qtd_conta_EXTERNO,0.3800115652214651
qtd_esp_lab_imagem,0.3800095285794106
qtd_esp_gine,0.31272776719568085
qtd_servico_RADIOLOGIA,0.3118498705596436
qtd_esp_ped,0.25300698631479646
qtd_esp_oftal,0.23823708368925914
qtd_esp_cardio,0.2374745411859477
qtd_esp_neuro,0.22652462853618935
qtd_esp_psiq,0.22506975765450557
qtd_servico_FISIOTERAPIA,0.2143582335766068
qtd_servico_TERAPIA,0.21315761739439504
qtd_servico_TOMOGRAFIA,0.20966819393276312
qtd_esp_orto,0.1980283834986401
qtd_servico_CIRURGICO,0.19190336204833988
qtd_servico___OUTROS__,0.18036487973455528
qtd_esp_otorrino,0.1789691964051854
qtd_esp_derm,0.17505085483185726
qtd_servico_RESSONÂNCIA MAGNÉTICA,0.170846729102677
qtd_conta_INTERNADO,0.16860543642456086
qtd_servico_CLÍNICO,0.15995448175966578
qtd_servico_CARDIOLOGIA,0.15866603201054338
qtd_esp_cirurg,0.14150712339912525
sexo,0.1190826550388166
qtd_servico_ACUPUNTURA,0.1141575719099811
qtd_servico_DIÁRIA,0.11179744978319738
idade,0.10932562987516528
qtd_servico_ENDOSCOPIA,0.09468291773402604
qtd_servico_QUIMIOTERAPIA,0.04490456995378042
valor_faturamento,0.020283393161432944
tipo_cadastro,0.00991246106746442
