DATA,COMPETENCIA,VALOR_FATURAMENTO,SINISTRALIDADE,imputado,SINISTRALIDADE_PREVISTA,forecast_p05,forecast_p25,forecast_p75,forecast_p95,REGISTO
2019-09-01,2019-09,479868.83999999997,0.6142754451531893,False,,,,,,historico
2019-10-01,2019-10,480237.11999999994,0.6034646069483912,False,,,,,,historico
2019-11-01,2019-11,484840.61999999994,0.6771495063587758,False,,,,,,historico
2019-12-01,2019-12,488707.55999999994,0.6308602213499961,False,,,,,,historico
2020-01-01,2020-01,485577.18,0.7397817636720553,False,,,,,,historico
2020-02-01,2020-02,488155.13999999996,0.6058480923034523,False,,,,,,historico
2020-03-01,2020-03,445250.51999999996,0.42662982001389554,False,,,,,,historico
2020-04-01,2020-04,460165.86,0.10790867749700941,False,,,,,,historico
2020-05-01,2020-05,462191.39999999997,0.022710865628512333,False,,,,,,historico
2020-06-01,2020-06,457587.89999999997,0.4099358940069058,False,,,,,,historico
2020-07-01,2020-07,454273.37999999995,0.5309528218225663,False,,,,,,historico
2020-08-01,2020-08,459613.43999999994,0.8596594241409665,False,,,,,,historico
2020-09-01,2020-09,462559.68,0.6742247102849989,False,,,,,,historico
2020-10-01,2020-10,465690.05999999994,0.6800657357316411,False,,,,,,historico
2020-11-01,2020-11,468636.3,0.6968906945559755,False,,,,,,historico
2020-12-01,2020-12,468820.43999999994,0.7137208938066271,False,,,,,,historico
2021-01-01,2021-01,470845.98,0.5769560113004002,False,,,,,,historico
2021-02-01,2021-02,472687.37999999995,0.5182788754054451,False,,,,,,historico
2021-03-01,2021-03,476554.31999999995,0.7894384473320728,False,,,,,,historico
2021-04-01,2021-04,481341.95999999996,0.8873861020315079,False,,,,,,historico
2021-05-01,2021-05,483551.63999999996,0.734580574619028,False,,,,,,historico
2021-06-01,2021-06,358152.3,0.8035645033411031,False,,,,,,historico
2021-07-01,2021-07,392808.33,0.7382903355101599,False,,,,,,historico
2021-08-01,2021-08,393984.99000000005,0.6789705222187569,False,,,,,,historico
2021-09-01,2021-09,396142.2,0.5532812577510243,False,,,,,,historico
2021-10-01,2021-10,386402.07,0.5292762175940365,True,,,,,,historico
2021-11-01,2021-11,376661.94,0.5052711774370487,True,,,,,,historico
2021-12-01,2021-12,366921.81,0.48126613728006096,False,,,,,,historico
2022-01-01,2022-01,367117.92000000004,0.6708994721182125,False,,,,,,historico
2022-02-01,2022-02,364372.38,0.7358688194622434,False,,,,,,historico
2022-03-01,2022-03,364960.71,0.7141552455349741,False,,,,,,historico
2022-04-01,2022-04,365941.26,0.6823942569347692,False,,,,,,historico
2022-05-01,2022-05,371432.34,0.8164742167661931,False,,,,,,historico
2022-06-01,2022-06,350644.68000000005,0.841920358145683,False,,,,,,historico
2022-07-01,2022-07,346526.37,0.8303219596577037,False,,,,,,historico
2022-08-01,2022-08,347506.92000000004,0.8673511558789815,False,,,,,,historico
2022-09-01,2022-09,349860.24000000005,1.1843193811065005,False,,,,,,historico
2022-10-01,2022-10,351821.34,1.1009649980424032,False,,,,,,historico
2022-11-01,2022-11,348879.69,0.8091022098614008,False,,,,,,historico
2022-12-01,2022-12,347899.14,0.9643757984911122,False,,,,,,historico
2023-01-01,2023-01,343192.5,1.856303094399085,False,,,,,,historico
2023-02-01,2023-02,342015.84,1.3598070776243651,False,,,,,,historico
2023-03-01,2023-03,343192.5,1.3562303068507315,False,,,,,,historico
2023-04-01,2023-04,343741.4,1.2815557998623137,False,,,,,,historico
2023-05-01,2023-05,344819.68000000005,1.3954802529235812,False,,,,,,historico
2023-06-01,2023-06,345604.12,1.175695772278139,False,,,,,,historico
2023-07-01,2023-07,348937.99000000005,1.7598448954959585,False,,,,,,historico
2023-08-01,2023-08,363242.88,1.3380679758844947,False,,,,,,historico
